"sub.id" "comm.id" "type.id" "diff"
"344" "yx5998" "Visual" "picture" 0.205700194365284
"345" "sg5218" "FrontoParietal" "load" 0.143670716989548
"346" "sg5218" "FrontoParietal" "picture" -0.0889315472593857
"347" "sg5218" "Visual" "load" -0.165074522924476
"348" "sg5218" "Visual" "picture" 0.400781262326779
"349" "ye5967" "FrontoParietal" "load" 0.0671048790585338
"350" "ye5967" "FrontoParietal" "picture" 0.0253349740108596
"351" "ye5967" "Visual" "load" -0.209152606758393
"352" "ye5967" "Visual" "picture" 0.489844485498423
"353" "fb9559" "FrontoParietal" "load" 0.12554489474705
"354" "fb9559" "FrontoParietal" "picture" -0.121438630395251
"355" "fb9559" "Visual" "load" -0.288223027429816
"356" "fb9559" "Visual" "picture" 0.610534068554681
"357" "xg5438" "FrontoParietal" "load" 0.300539209860464
"358" "xg5438" "FrontoParietal" "picture" -0.119695309020986
"359" "xg5438" "Visual" "load" 0.0269114624230088
"360" "xg5438" "Visual" "picture" 0.193130683321524
"361" "oc4214" "FrontoParietal" "load" 0.195145721127612
"362" "oc4214" "FrontoParietal" "picture" -0.0962110486298423
"363" "oc4214" "Visual" "load" -0.208311756334633
"364" "oc4214" "Visual" "picture" 0.394765284243548
"365" "hx8470" "FrontoParietal" "load" 0.0553145423034522
"366" "hx8470" "FrontoParietal" "picture" -0.125168832970633
"367" "hx8470" "Visual" "load" -0.234774771472053
"368" "hx8470" "Visual" "picture" 0.448527352143312
"369" "df8145" "FrontoParietal" "load" 0.122239910646103
"370" "df8145" "FrontoParietal" "picture" -0.0841769828219175
"371" "df8145" "Visual" "load" -0.132894517743378
"372" "df8145" "Visual" "picture" 0.263717103896122
"373" "is8342" "FrontoParietal" "load" 0.207116064492409
"374" "is8342" "FrontoParietal" "picture" -0.111205674272679
"375" "is8342" "Visual" "load" -0.19919430381022
"376" "is8342" "Visual" "picture" 0.388281232618713
"377" "mg4903" "FrontoParietal" "load" 0.00631950231646272
"378" "mg4903" "FrontoParietal" "picture" -0.0490072728266068
"379" "mg4903" "Visual" "load" -0.15417882385921
"380" "mg4903" "Visual" "picture" 0.27343491279628
"381" "jh4223" "FrontoParietal" "load" 0.0903862388311827
"382" "jh4223" "FrontoParietal" "picture" -0.0434428485140704
"383" "jh4223" "Visual" "load" -0.180736683050819
"384" "jh4223" "Visual" "picture" 0.423121285254253
"385" "pk6257" "FrontoParietal" "load" 0.16918683814534
"386" "pk6257" "FrontoParietal" "picture" -0.123958360942406
"387" "pk6257" "Visual" "load" -0.0131444680956155
"388" "pk6257" "Visual" "picture" 0.0230528368629845
"389" "vr394" "FrontoParietal" "load" 0.138123802403157
"390" "vr394" "FrontoParietal" "picture" -0.104619660043139
"391" "vr394" "Visual" "load" -0.176631061063545
"392" "vr394" "Visual" "picture" 0.387391427136242
"393" "kr5213" "FrontoParietal" "load" 0.119703515965891
"394" "kr5213" "FrontoParietal" "picture" -0.0988679494554563
"395" "kr5213" "Visual" "load" -0.315108841760843
"396" "kr5213" "Visual" "picture" 0.62677094553313
"397" "uq2088" "FrontoParietal" "load" -0.206241487181734
"398" "uq2088" "FrontoParietal" "picture" 0.159476985863993
"399" "uq2088" "Visual" "load" -0.220995210833616
