"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"tj8522.qq5491" -0.0190429258048858 0.01472044129683 0.00509703744846896 -0.0476110904530261 0.0999912709871036 0.135795770184735 0.135366232352027 0.0955131709425511 0.0676321237418026 0.071160270704783 0.0759416022717741 0.0662580644634521 0.14384519106585 0.193123407384247 0.177462291413367 0.173594031075315
"ss6388.ne7334" 0.144902239496686 0.0920501757778082 0.146409600571145 0.20087197833903 0.164625923751698 0.0711668965712155 0.0991495815368456 0.158683032745977 0.143075055382193 0.127173876408144 0.171457175708275 0.228306598131907 0.174385819887472 0.104764322519725 0.178610795818467 0.241376263697161
"bx1564.we7146" -0.043151693495177 -0.0416521491188667 -0.0595270885288629 -0.0893528482351946 -0.141025496885944 -0.0684291764266436 -0.146015724252188 -0.158439653439188 -0.0276785730533711 0.109268878420609 0.00399771504106331 -0.0246606427646457 0.0178511446144968 0.1526535063242 0.103132820349867 0.100551411416644
"th6641.to1698" 0.144610375136396 0.121712332154817 0.0988356714956368 0.063511626653076 0.128273097588192 0.0912721607104785 0.102297975574005 0.0832995374519629 0.114709556943578 0.0838321201563815 0.125420897133664 0.0964804643225488 0.103930488197262 0.083085596098971 0.103760915175709 0.0908606469102237
"ti5445.xj6341" 0.0566044967863205 -0.0133720311816932 -0.0295136514991607 -0.0259693542155667 0.00432189019722835 0.0279446615475882 0.0206133156772791 -0.024005231654769 0.0624406401103111 0.162477609018382 0.167098361291337 0.154027644954317 0.0392987444453075 0.0691435397357249 0.0203098428670726 -0.00510013219487777
"dc2170.lw521" 0.147980315276422 0.155184180105621 0.107782019899207 0.0485720975792364 0.0845171146994996 0.221336755932952 0.230234564441251 0.221681722825128 0.193619663403464 0.253709785621263 0.337476589524717 0.269900697439829 0.0911510078090173 0.0996150179942044 0.190495592550909 0.189134114950286
"qh8067.ok7328" 0.00741248841436149 0.0626560840020802 -0.0396164796661214 0.0896735400930481 -0.0650088609238302 0.0390330822085498 -0.100672642291363 0.070264940147565 -0.062649625862773 0.0562418420397671 -0.0569314791201944 0.069417884661418 -0.076115032907089 0.0475686075200894 -0.119879670250777 0.0444216113410026
"ix9468.qw3315" 0.0869477817866429 0.113998964618776 0.0991693253347344 0.103872579909236 0.0776518005363728 0.202865325461639 0.0822371827842511 0.0964315780009696 0.0484129247622564 0.143765971820361 0.112058613057494 0.0508381869043377 0.109591501446427 0.186061560793844 0.149648211404497 0.143224198649096
"fu4952.ty3311" 0.0899505696211915 0.169204287516253 0.121123861289114 0.113095979800517 0.126473092498946 0.303864551090582 0.225443200813506 0.248798523358788 0.135481120161075 0.219944230313901 0.209616877922942 0.173960876234398 0.00636552528997347 0.172524599479825 0.16488977258112 0.130275104209924
"lq147.tp4003" 0.0733573641867911 0.0785611766267595 0.146485523591857 0.128593463253545 0.00769515352769294 0.0191968806583616 0.0707508406844877 0.0905628834511253 0.0315865798260192 0.07783870246618 0.169678168003472 0.146210732549519 0.0236736566258448 0.0540805714722415 0.129362034444223 0.0983144707624657
